Column1,Column2,Column3,Column4
0,149,1,0
1,149,1,0
2,149,1,0
3,149,1,0
4,149,1,0
5,149,1,0
6,149,1,0
7,149,1,0
8,149,1,0
9,149,1,0
10,149,1,0
11,149,1,0
12,149,1,0
13,149,1,0
14,149,1,0
15,149,1,0
16,149,1,0
17,149,1,0
18,149,1,0
19,149,1,0
20,149,1,0
21,149,1,0
22,149,1,0
23,149,1,0
24,149,1,0
25,149,1,0
26,149,1,0
27,149,1,0
28,149,1,0
29,149,1,0
30,149,1,0
31,149,1,0
32,149,1,0
33,149,1,0
34,149,1,0
35,149,1,0
36,149,1,0
37,149,1,0
38,149,1,0
39,149,1,0
40,149,1,0
41,149,1,0
42,149,1,0
43,149,1,0
44,149,1,0
45,149,1,0
46,149,1,0
47,149,1,0
48,149,1,0
49,149,1,0
50,149,1,0
51,149,1,0
52,149,1,0
53,149,1,0
54,149,1,0
55,149,1,0
56,149,1,0
57,149,1,0
58,149,1,0
59,149,1,0
60,149,1,0
61,149,1,0
62,149,1,0
63,149,1,0
64,149,1,0
65,149,1,0
66,149,1,0
67,149,1,0
68,149,1,0
69,149,1,0
70,149,1,0
71,149,1,0
72,149,1,0
73,149,1,0
74,149,1,0
75,149,1,0
76,149,1,0
77,149,1,0
78,149,1,0
79,149,1,0
80,149,1,0
81,149,1,0
82,149,1,0
83,149,1,0
84,149,1,0
85,149,1,0
86,149,1,0
87,149,1,0
88,149,1,0
89,149,1,0
90,149,1,0
91,149,1,0
92,149,1,0
93,149,1,0
94,149,1,0
95,149,1,0
96,149,1,0
97,149,1,0
98,149,1,0
99,149,1,0
100,149,1,0
101,149,1,0
102,149,1,0
103,149,1,0
104,149,1,0
105,149,1,0
106,149,1,0
107,149,1,0
108,149,1,0
109,149,1,0
110,149,1,0
111,149,1,0
112,149,1,0
113,149,1,0
114,149,1,0
115,149,1,0
116,149,1,0
117,149,1,0
118,149,1,0
119,148,2,0
120,148,2,0
121,148,2,0
122,148,2,0
123,148,2,0
124,148,2,0
125,148,2,0
126,148,2,0
127,148,2,0
128,148,2,0
129,148,2,0
130,148,2,0
131,148,2,0
132,148,2,0
133,147,3,0
134,147,3,0
135,147,3,0
136,147,3,0
137,147,3,0
138,147,3,0
139,147,3,0
140,147,3,0
141,147,3,0
142,146,3,1
143,146,3,1
144,146,3,1
145,146,3,1
146,146,3,1
147,146,3,1
148,146,3,1
149,146,3,1
150,146,3,1
151,146,3,1
152,146,3,1
153,146,3,1
154,145,4,1
155,144,5,1
156,144,5,1
157,144,5,1
158,144,5,1
159,144,5,1
160,144,5,1
161,144,5,1
162,144,5,1
163,144,5,1
164,144,5,1
165,144,5,1
166,144,5,1
167,144,5,1
168,144,5,1
169,144,5,1
170,144,5,1
171,144,5,1
172,144,5,1
173,144,5,1
174,144,5,1
175,144,5,1
176,144,5,1
177,144,5,1
